year,title,rating,imdb_id,imdb_url,titleType,genres,averageRating,numVotes
1894,Sandow No. 2,0,tt2161519,https://www.imdb.com/title/tt2161519/,short,"Documentary,Short",4.5,77.0
1894,Buffalo Dance,0,tt0309402,https://www.imdb.com/title/tt0309402/,short,"Documentary,Short,Western",5.4,1123.0
1894,The Barbershop,0,tt0229235,https://www.imdb.com/title/tt0229235/,short,"Documentary,Short",5.3,1312.0
1894,Bucking Broncho,0,tt0309396,https://www.imdb.com/title/tt0309396/,short,"Documentary,Short,Western",5.1,822.0
1894,Glenroy Brothers,0,tt0256782,https://www.imdb.com/title/tt0256782/,short,"Comedy,Documentary,Short",5.3,896.0
1894,Autour d'une cabine,0,tt0000015,https://www.imdb.com/title/tt0000015/,short,"Animation,Comedy,Short",6.2,1322.0
1894,Edison Kinetoscope Records: Annie Oakley,0,tt8419312,https://www.imdb.com/title/tt8419312/,,,,
1894,Corbett and Courtney Before the Kinetograph,0,tt0000007,https://www.imdb.com/title/tt0000007/,short,"Short,Sport",5.3,941.0
1894,"Glenroy Bros., No. 2",0,tt0312728,https://www.imdb.com/title/tt0312728/,short,"Comedy,Short,Sport",5.0,572.0
1894,Chinese Opium Den,0,tt0000006,https://www.imdb.com/title/tt0000006/,short,Short,5.1,223.0
1895,Billy Edwards and the Unknown,0,tt0477266,https://www.imdb.com/title/tt0477266/,short,"Short,Sport",4.5,390.0
1895,Baby's Dinner,1,tt0000029,https://www.imdb.com/title/tt0000029/,short,"Documentary,Short",5.9,3792.0
1895,Annabelle Serpentine Dance,0,tt0154152,https://www.imdb.com/title/tt0154152/,short,"Documentary,Short",6.5,2619.0
1895,Barque sortant du port,0,tt0000016,https://www.imdb.com/title/tt0000016/,short,"Documentary,Short",5.9,1718.0
1895,Akrobatisches Potpourri,1,tt0000011,https://www.imdb.com/title/tt0000011/,short,"Documentary,Short",5.2,449.0
